序号,统计时间,社会消费品零售总额（亿元）,社会消费品零售总额月度同比增长（%）,限额以上企业消费品零售额（亿元）,限额以上企业消费品零售额月度同比增长（%）
,,17171.0 ,,,
,,16497.6 ,,,
2,2012年3月,15650.2,15.2,7686.0,16.9
3,2012年4月,15603.1,14.1,7482.6,14.6
4,2012年5月,16714.8,13.8,7922.5,14.0
5,2012年6月,16584.9,13.7,8222.8,14.0
6,2012年7月,16314.9,13.1,7812.0,13.0
7,2012年8月,16658.9,13.2,8148.7,13.1
8,2012年9月,18226.6,14.2,8930.7,14.7
9,2012年10月,18933.8,14.5,9022.8,14.8
10,2012年11月,18476.7,14.9,9394.5,15.1
11,2012年12月,20334.2,15.2,10773.4,15.3
,,19866.4 ,,,
,,17943.4 ,,,
13,2013年3月,17641.2,12.6,9075.7,10.5
14,2013年4月,17600.3,12.8,8950.3,11.5
15,2013年5月,18886.3,12.9,9371.1,10.7
16,2013年6月,18826.7,13.3,9764.4,11.5
17,2013年7月,18513.2,13.2,9158.9,11.2
18,2013年8月,18886.2,13.4,9490.3,11.5
19,2013年9月,20653.3,13.3,10526.0,12.4
20,2013年10月,21491.3,13.3,10578.9,12.4
21,2013年11月,21011.9,13.7,11055.0,13.1
22,2013年12月,23059.7,13.6,12641.4,13.0
,,21563.2 ,,,
,,20717.5 ,,,
24,2014年3月,19800.6,12.2,10230.7,10.2
25,2014年4月,19701.2,11.9,10009.6,9.4
26,2014年5月,21249.8,12.5,10559.8,9.9
27,2014年6月,21166.4,12.4,11102.8,10.2
28,2014年7月,20775.8,12.2,10359.9,9.7
29,2014年8月,21133.9,11.9,10466.1,9.0
30,2014年9月,23042.4,11.6,11581.8,8.5
31,2014年10月,23967.2,11.5,11744.6,8.3
32,2014年11月,23474.7,11.7,11793.9,8.7
33,2014年12月,25801.3,11.9,14274.2,9.4
,,25216.7 ,,,
,,22775.8 ,,,
35,2015年3月,22722.8,10.2,10833.5,7.1
36,2015年4月,22386.7,10.0,10564.2,6.7
37,2015年5月,24194.8,10.1,11180.1,6.8
38,2015年6月,24280.3,10.6,12009.4,7.8
39,2015年7月,24338.8,10.5,11005.3,7.3
40,2015年8月,24893.4,10.8,11256.6,8.0
41,2015年9月,25270.6,10.9,12484.1,8.2
42,2015年10月,28278.9,11.0,12612.2,8.4
